type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
spatstat,none,3,7,10,True,5,0.7600009381743128,0.7210144927536233
spatstat,none,3,7,20,True,5,0.7877083528786315,0.7952898550724636
spatstat,none,3,7,40,True,5,0.7890358695312255,0.7399068322981367
spatstat,none,5,3,5,True,5,0.511217437533227,0.5753105590062112
spatstat,none,5,3,10,True,5,0.6203708915783219,0.5991200828157349
spatstat,none,5,3,20,True,5,0.685817931638365,0.7021221532091099
spatstat,none,5,3,40,True,5,0.6776386152547144,0.6990165631469978
spatstat,none,5,5,5,True,5,0.5776182881446039,0.6162008281573499
spatstat,none,5,5,10,True,5,0.6123495012039905,0.6379399585921326
spatstat,none,5,5,20,True,5,0.6698345685961785,0.7091097308488613
spatstat,none,5,5,40,True,5,0.6586093129436783,0.7318840579710146
spatstat,none,5,7,5,True,5,0.5968618069237264,0.636904761904762
spatstat,none,5,7,10,True,5,0.6557728992713514,0.7000517598343685
spatstat,none,5,7,20,True,5,0.6500297088532383,0.6873706004140786
spatstat,none,5,7,40,True,5,0.6763110986021204,0.7329192546583851
spatstat,none,7,3,5,True,5,0.5395331019170028,0.5685817805383023
spatstat,none,7,3,10,True,5,0.5982925227507271,0.7119565217391304
spatstat,none,7,3,20,True,5,0.6158739093723613,0.8100414078674948
spatstat,none,7,3,40,True,5,0.6651264971698408,0.6576086956521738
spatstat,none,7,5,5,True,5,0.5484754667417207,0.6172360248447205
spatstat,none,7,5,10,True,5,0.5863558182443631,0.6498447204968943
spatstat,none,7,5,20,True,5,0.6575319761078274,0.6953933747412009
spatstat,none,7,5,40,True,5,0.738579291365669,0.7714803312629399
spatstat,none,7,7,5,True,5,0.6622822653782406,0.5107401656314701
spatstat,none,7,7,10,True,5,0.6275307252087438,0.625
spatstat,none,7,7,20,True,5,0.6446430246739845,0.6400103519668736
spatstat,none,7,7,40,True,5,0.7011820996341122,0.7280020703933748
moran,none,1,3,5,True,5,0.6771710917221754,0.798136645962733
moran,none,1,3,10,True,5,0.7667729930887826,0.8664596273291926
moran,none,1,3,20,True,5,0.7783250461269037,0.8566252587991718
moran,none,1,3,40,True,5,0.7658082371704664,0.8118530020703935
moran,none,1,5,5,True,5,0.7131391312505864,0.7937370600414079
moran,none,1,5,10,True,5,0.7616239797354349,0.8436853002070392
moran,none,1,5,20,True,5,0.8094349063389311,0.8061594202898551
moran,none,1,5,40,True,5,0.7946649154079494,0.8100414078674948
moran,none,1,7,5,True,5,0.699815492385152,0.7119565217391304
moran,none,1,7,10,True,5,0.7834834412233793,0.8170289855072463
moran,none,1,7,20,True,5,0.7724426931857271,0.7903726708074534
moran,none,1,7,40,True,5,0.7914360321481064,0.8051242236024845
moran,none,3,3,5,True,5,0.5707117615786346,0.5892857142857143
moran,none,3,3,10,True,5,0.611963286111893,0.6418219461697723
moran,none,3,3,20,True,5,0.6185805422647528,0.7564699792960662
moran,none,3,3,40,True,5,0.5880085686587234,0.765527950310559
moran,none,3,5,5,True,5,0.5730337430027832,0.5714285714285714
moran,none,3,5,10,True,5,0.6280998842918347,0.5942028985507248
moran,none,3,5,20,True,5,0.6015448603683897,0.6873706004140786
moran,none,3,5,40,True,5,0.6224583294242737,0.6733954451345756
moran,none,3,7,5,True,5,0.46660881258404474,0.5822981366459627
moran,none,3,7,10,True,5,0.4649904618944866,0.5942028985507248
moran,none,3,7,20,True,5,0.5948494230227976,0.6951345755693582
moran,none,3,7,40,True,5,0.6167511023548176,0.6516563146997929
moran,none,5,3,5,True,5,0.6134190199205679,0.6387163561076604
moran,none,5,3,10,True,5,0.6481080151358789,0.7427536231884059
moran,none,5,3,20,True,5,0.6915861400381524,0.7971014492753623
moran,none,5,3,40,True,5,0.6606107514776245,0.871376811594203
moran,none,5,5,5,True,5,0.5801935766332051,0.7487060041407867
moran,none,5,5,10,True,5,0.6818431997998562,0.7991718426501035
moran,none,5,5,20,True,5,0.6946367701785658,0.7616459627329194
moran,none,5,5,40,True,5,0.6875910810895332,0.7991718426501035
moran,none,5,7,5,True,5,0.5451621477937267,0.563664596273292
moran,none,5,7,10,True,5,0.6235481752509615,0.7199792960662527
moran,none,5,7,20,True,5,0.7065844200519124,0.7437888198757765
moran,none,5,7,40,True,5,0.6514213340838728,0.8012422360248447
moran,none,7,3,5,True,5,0.6677846577227382,0.7872670807453417
moran,none,7,3,10,True,5,0.70478625261907,0.8198757763975155
moran,none,7,3,20,True,5,0.788702817650186,0.8496376811594203
moran,none,7,3,40,True,5,0.7608265315695656,0.8139233954451346
moran,none,7,5,5,True,5,0.6594849423022798,0.7406832298136646
moran,none,7,5,10,True,5,0.7541279669762642,0.7339544513457557
moran,none,7,5,20,True,5,0.7209025236889014,0.8674948240165631
moran,none,7,5,40,True,5,0.7873018106764237,0.8356625258799173
moran,none,7,7,5,True,5,0.5765002970885325,0.6853002070393375
moran,none,7,7,10,True,5,0.7268599305751009,0.7823498964803313
moran,none,7,7,20,True,5,0.7429855833880602,0.8229813664596274
moran,none,7,7,40,True,5,0.7325530850298652,0.8317805383022774
