type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.6718792087542088,0.16593266159478562
scatter,none,1,3,10,True,5,0.8161900252525254,0.10232570994799191
scatter,none,1,3,20,True,5,0.8601672979797981,0.06928103363304516
scatter,none,1,3,40,True,5,0.8322906144781144,0.045452195554749025
scatter,none,1,5,5,True,5,0.5963657407407407,0.10694162855039006
scatter,none,1,5,10,True,5,0.8317876683501684,0.05856815355626859
scatter,none,1,5,20,True,5,0.8272032828282828,0.05388981540098648
scatter,none,1,5,40,True,5,0.843944654882155,0.04199106867173483
scatter,none,1,7,5,True,5,0.7871664562289562,0.11698119161784151
scatter,none,1,7,10,True,5,0.7810679713804713,0.0835949369012504
scatter,none,1,7,20,True,5,0.8113047138047138,0.04976874868701269
scatter,none,1,7,40,True,5,0.8612015993265991,0.05291151886852586
scatter,none,3,3,5,True,5,0.6790067340067341,0.07279185056475351
scatter,none,3,3,10,True,5,0.8495096801346801,0.03311700501576996
scatter,none,3,3,20,True,5,0.8583143939393938,0.07340055074579302
scatter,none,3,3,40,True,5,0.8225242003367004,0.04899015882735368
scatter,none,3,5,5,True,5,0.8321348905723905,0.08229787546153224
scatter,none,3,5,10,True,5,0.8535058922558922,0.05660545326307253
scatter,none,3,5,20,True,5,0.7811132154882154,0.0969221349685246
scatter,none,3,5,40,True,5,0.884832702020202,0.07016626554561525
scatter,none,3,7,5,True,5,0.745814393939394,0.07320872029075173
scatter,none,3,7,10,True,5,0.7180639730639731,0.061760995195394464
scatter,none,3,7,20,True,5,0.8575305134680133,0.07337017407883126
scatter,none,3,7,40,True,5,0.9241824494949494,0.05101715239978876
scatter,none,5,3,5,True,5,0.8247295875420875,0.08532396087796329
scatter,none,5,3,10,True,5,0.8371790824915823,0.08979034994792777
scatter,none,5,3,20,True,5,0.8631386784511784,0.03830736888065702
scatter,none,5,3,40,True,5,0.8893434343434343,0.06948697432175001
scatter,none,5,5,5,True,5,0.780809132996633,0.10243717166778664
scatter,none,5,5,10,True,5,0.901998106060606,0.05664231128571628
scatter,none,5,5,20,True,5,0.9137836700336699,0.054756769342245666
scatter,none,5,5,40,True,5,0.9013310185185185,0.07941287588813556
scatter,none,5,7,5,True,5,0.8435174663299663,0.06910244598791132
scatter,none,5,7,10,True,5,0.8389541245791244,0.0583577245843761
scatter,none,5,7,20,True,5,0.9074736952861953,0.05160319080161136
scatter,none,5,7,40,True,5,0.8894570707070706,0.06591223832900564
scatter,none,7,3,5,True,5,0.42476641414141414,0.08340571303829732
scatter,none,7,3,10,True,5,0.6706723484848485,0.06324878149619965
scatter,none,7,3,20,True,5,0.8564172979797979,0.07090738220623931
