type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.9412702429149797,0.7785358173707688,0.6341463414634146,0.7027027027027027
scatter,none,1,3,10,True,5,0.9852147998200629,0.8714248228811337,0.8108108108108109,0.8108108108108109
scatter,none,1,3,20,True,5,0.9884643499775079,0.8638152715822619,0.9032258064516129,0.7567567567567568
scatter,none,1,3,40,True,5,0.9930358749437698,0.8859879296772502,0.8823529411764706,0.8108108108108109
scatter,none,1,5,5,True,5,0.9769691857849752,0.8482025715035424,0.7631578947368421,0.7837837837837838
scatter,none,1,5,10,True,5,0.9794618758434549,0.9033062188401996,0.8421052631578947,0.8648648648648649
scatter,none,1,5,20,True,5,0.9620439721097614,0.8433482025715036,0.7435897435897436,0.7837837837837838
scatter,none,1,5,40,True,5,0.9730499325236167,0.8530569404355812,0.7837837837837838,0.7837837837837838
scatter,none,1,7,5,True,5,0.9480257534862797,0.7816845972185779,0.7931034482758621,0.6216216216216216
scatter,none,1,7,10,True,5,0.9537961088618984,0.8270795066911572,0.8387096774193549,0.7027027027027027
scatter,none,1,7,20,True,5,0.9576833108412055,0.7903437418000525,0.7741935483870968,0.6486486486486487
scatter,none,1,7,40,True,5,0.9577912730544309,0.8260299134085543,0.7714285714285715,0.7297297297297297
scatter,none,3,3,5,True,5,0.8804374718848402,0.7639727105746523,0.5909090909090909,0.7027027027027027
scatter,none,3,3,10,True,5,0.9363197255960414,0.8298346890579902,0.7368421052631579,0.7567567567567568
scatter,none,3,3,20,True,5,0.9289985380116959,0.8249803201259512,0.717948717948718,0.7567567567567568
scatter,none,3,3,40,True,5,0.9576692532613584,0.890842298609289,0.9090909090909091,0.8108108108108109
scatter,none,3,5,5,True,5,0.8311853351327037,0.7057202833901863,0.4642857142857143,0.7027027027027027
scatter,none,3,5,10,True,5,0.8255909806567703,0.7012595119391236,0.5526315789473685,0.5675675675675675
scatter,none,3,5,20,True,5,0.9102693432298695,0.77368144843873,0.6190476190476191,0.7027027027027027
scatter,none,3,5,40,True,5,0.9533288349077823,0.8568617160850173,0.75,0.8108108108108109
scatter,none,3,7,5,True,5,0.7651388888888889,0.6617685646811861,0.5483870967741935,0.4594594594594595
scatter,none,3,7,10,True,5,0.8367363922627081,0.7282865389661506,0.575,0.6216216216216216
