type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc,test-precision,test-recall
scatter,none,1,3,5,True,5,0.760060975609756,0.7974537037037037,0.6875,0.6875
scatter,none,1,3,10,True,5,0.8896821877309682,0.845486111111111,0.8846153846153846,0.71875
scatter,none,1,3,20,True,5,0.9227882483370289,0.8813657407407407,0.9259259259259259,0.78125
scatter,none,1,3,40,True,5,0.9452734663710274,0.9282407407407408,0.9333333333333333,0.875
scatter,none,1,5,5,True,5,0.8549870657797486,0.8443287037037037,0.7142857142857143,0.78125
scatter,none,1,5,10,True,5,0.9427734663710272,0.9126157407407408,0.9310344827586207,0.84375
scatter,none,1,5,20,True,5,0.9170158906134518,0.9484953703703703,0.9666666666666667,0.90625
scatter,none,1,5,40,True,5,0.9268643754619366,0.9375,1.0,0.875
scatter,none,1,7,5,True,5,0.8356836659275684,0.7893518518518519,0.8,0.625
scatter,none,1,7,10,True,5,0.8845916481892093,0.8877314814814815,0.8666666666666667,0.8125
scatter,none,1,7,20,True,5,0.8970916481892093,0.8408564814814816,0.8518518518518519,0.71875
scatter,none,1,7,40,True,5,0.9368791574279379,0.9189814814814815,0.875,0.875
scatter,none,3,3,5,True,5,0.746881005173688,0.7199074074074074,0.5,0.625
scatter,none,3,3,10,True,5,0.7128510716925351,0.7800925925925927,0.7407407407407407,0.625
scatter,none,3,3,20,True,5,0.7882742054693275,0.8472222222222222,0.8,0.75
scatter,none,3,3,40,True,5,0.7908351810790836,0.892361111111111,0.896551724137931,0.8125
scatter,none,3,5,5,True,5,0.6591407982261641,0.5891203703703702,0.3333333333333333,0.4375
scatter,none,3,5,10,True,5,0.6637915742793791,0.6840277777777778,0.46153846153846156,0.5625
scatter,none,3,5,20,True,5,0.7868200295639319,0.8333333333333333,0.7272727272727273,0.75
scatter,none,3,5,40,True,5,0.8373651145602364,0.8784722222222222,0.8125,0.8125
scatter,none,3,7,5,True,5,0.6541537324464153,0.6354166666666667,0.4375,0.4375
scatter,none,3,7,10,True,5,0.7194549150036955,0.6585648148148148,0.5185185185185185,0.4375
scatter,none,3,7,20,True,5,0.7307889874353288,0.7615740740740741,0.6451612903225806,0.625
scatter,none,3,7,40,True,5,0.8039708056171471,0.8692129629629629,0.7647058823529411,0.8125
scatter,none,5,3,5,True,5,0.8567147080561714,0.8726851851851851,0.6666666666666666,0.875
scatter,none,5,3,10,True,5,0.802531411677753,0.7662037037037038,0.6666666666666666,0.625
scatter,none,5,3,20,True,5,0.7575166297117517,0.8049768518518519,0.8076923076923077,0.65625
scatter,none,5,3,40,True,5,0.8147283813747229,0.8269675925925927,0.7666666666666667,0.71875
scatter,none,5,5,5,True,5,0.7112721729490024,0.6672453703703703,0.40425531914893614,0.59375
scatter,none,5,5,10,True,5,0.6935920177383592,0.6950231481481481,0.4634146341463415,0.59375
scatter,none,5,5,20,True,5,0.724349593495935,0.9050925925925927,0.8,0.875
scatter,none,5,5,40,True,5,0.7932132298595713,0.8298611111111112,0.88,0.6875
scatter,none,5,7,5,True,5,0.7667904656319291,0.7164351851851852,0.5625,0.5625
scatter,none,5,7,10,True,5,0.7518052475979305,0.7552083333333334,0.6785714285714286,0.59375
scatter,none,5,7,20,True,5,0.8297135994087214,0.8067129629629629,0.7333333333333333,0.6875
scatter,none,5,7,40,True,5,0.7685162601626017,0.7598379629629629,0.7037037037037037,0.59375
scatter,none,7,3,5,True,5,0.7710860125646712,0.8431712962962963,0.6136363636363636,0.84375
scatter,none,7,3,10,True,5,0.7635476718403547,0.7974537037037037,0.6875,0.6875
scatter,none,7,3,20,True,5,0.8390465631929047,0.8518518518518519,0.8275862068965517,0.75
scatter,none,7,3,40,True,5,0.8780321507760531,0.8067129629629629,0.7333333333333333,0.6875
scatter,none,7,5,5,True,5,0.7396826496674056,0.8078703703703703,0.5,0.875
