type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.7680092983939139,0.6201388888888889
scatter,none,1,3,5,True,7,0.7748503803888419,0.6114583333333333
scatter,none,1,3,5,True,11,0.7734218089602705,0.6166666666666667
scatter,none,1,3,10,True,5,0.8225274725274726,0.6520833333333333
scatter,none,1,3,10,True,7,0.8189560439560439,0.6520833333333333
scatter,none,1,3,10,True,11,0.8189560439560439,0.6520833333333333
scatter,none,1,3,20,True,5,0.8966483516483518,0.6895833333333333
scatter,none,1,3,20,True,7,0.8966483516483518,0.6895833333333333
scatter,none,1,3,20,True,11,0.8966483516483518,0.6895833333333333
scatter,none,1,3,40,True,5,0.867967032967033,0.7479166666666668
scatter,none,1,3,40,True,7,0.867967032967033,0.7479166666666668
scatter,none,1,3,40,True,11,0.867967032967033,0.7479166666666668
scatter,none,1,5,5,True,5,0.8052857142857143,0.6663194444444444
scatter,none,1,5,5,True,7,0.8174725274725274,0.6746527777777778
scatter,none,1,5,5,True,11,0.8146153846153845,0.6791666666666667
scatter,none,1,5,10,True,5,0.8309467455621302,0.7020833333333334
scatter,none,1,5,10,True,7,0.8212087912087911,0.7083333333333334
scatter,none,1,5,10,True,11,0.8177802197802198,0.7083333333333334
scatter,none,1,5,20,True,5,0.8242197802197803,0.6791666666666667
scatter,none,1,5,20,True,7,0.8215054945054945,0.6791666666666667
scatter,none,1,5,20,True,11,0.8215054945054945,0.6791666666666667
scatter,none,1,5,40,True,5,0.8737979712595096,0.7062499999999999
scatter,none,1,5,40,True,7,0.8617692307692308,0.7062499999999999
scatter,none,1,5,40,True,11,0.8617692307692308,0.7062499999999999
scatter,none,1,7,5,True,5,0.7871360946745561,0.6805555555555555
scatter,none,1,7,5,True,7,0.7648875739644969,0.6944444444444444
scatter,none,1,7,5,True,11,0.7467142857142858,0.6812500000000001
scatter,none,1,7,10,True,5,0.8139509721048184,0.6618055555555555
scatter,none,1,7,10,True,7,0.7828241758241758,0.6416666666666666
scatter,none,1,7,10,True,11,0.7828241758241758,0.6416666666666666
scatter,none,1,7,20,True,5,0.8187514792899409,0.6270833333333333
scatter,none,1,7,20,True,7,0.8196703296703296,0.6270833333333333
scatter,none,1,7,20,True,11,0.8196703296703296,0.6270833333333333
scatter,none,1,7,40,True,5,0.8555384615384616,0.6579861111111112
scatter,none,1,7,40,True,7,0.8459670329670329,0.6479166666666667
scatter,none,1,7,40,True,11,0.8432527472527471,0.6479166666666667
scatter,none,3,3,5,True,5,0.736458157227388,0.6972222222222222
scatter,none,3,3,5,True,7,0.7093913778529164,0.6729166666666666
scatter,none,3,3,5,True,11,0.7018351648351648,0.6791666666666667
scatter,none,3,3,10,True,5,0.8122011834319526,0.703125
scatter,none,3,3,10,True,7,0.7974251901944209,0.7104166666666667
scatter,none,3,3,10,True,11,0.796945054945055,0.7104166666666667
scatter,none,3,3,20,True,5,0.8590718512256974,0.7131944444444445
scatter,none,3,3,20,True,7,0.8559805579036348,0.6395833333333334
scatter,none,3,3,20,True,11,0.8549450549450549,0.6395833333333334
scatter,none,3,3,40,True,5,0.8078579881656804,0.5645833333333334
scatter,none,3,3,40,True,7,0.80389010989011,0.5645833333333334
scatter,none,3,3,40,True,11,0.80389010989011,0.5645833333333334
scatter,none,3,5,5,True,5,0.7020185967878276,0.7145833333333332
scatter,none,3,5,5,True,7,0.689054945054945,0.6725694444444444
scatter,none,3,5,5,True,11,0.6876263736263737,0.6479166666666667
scatter,none,3,5,10,True,5,0.6833178360101437,0.6857638888888888
scatter,none,3,5,10,True,7,0.6689611158072696,0.648611111111111
scatter,none,3,5,10,True,11,0.6606593406593406,0.6895833333333333
scatter,none,3,5,20,True,5,0.7448706677937447,0.6027777777777777
scatter,none,3,5,20,True,7,0.7509366018596787,0.6354166666666666
scatter,none,3,5,20,True,11,0.7461318681318682,0.6354166666666666
scatter,none,3,5,40,True,5,0.8012299239222317,0.6444444444444444
scatter,none,3,5,40,True,7,0.8005164835164835,0.6274305555555555
scatter,none,3,5,40,True,11,0.796945054945055,0.6166666666666667
scatter,none,3,7,5,True,5,0.6377565511411666,0.5565972222222222
scatter,none,3,7,5,True,7,0.6185300084530854,0.532986111111111
scatter,none,3,7,5,True,11,0.6103736263736262,0.51875
scatter,none,3,7,10,True,5,0.6755672020287404,0.6315972222222223
scatter,none,3,7,10,True,7,0.6689103972950127,0.6354166666666666
scatter,none,3,7,10,True,11,0.6516813186813187,0.6479166666666667
scatter,none,3,7,20,True,5,0.7871639898562975,0.5670138888888889
scatter,none,3,7,20,True,7,0.7888791208791209,0.5770833333333333
scatter,none,3,7,20,True,11,0.7878791208791209,0.5770833333333333
scatter,none,3,7,40,True,5,0.7824615384615383,0.6263888888888889
scatter,none,3,7,40,True,7,0.7825164835164834,0.6479166666666667
scatter,none,3,7,40,True,11,0.7825164835164834,0.6479166666666667
scatter,none,5,3,5,True,5,0.8431665257819103,0.6767361111111112
scatter,none,5,3,5,True,7,0.8417878275570583,0.678125
scatter,none,5,3,5,True,11,0.8417878275570583,0.678125
scatter,none,5,3,10,True,5,0.8277345731191884,0.6583333333333333
scatter,none,5,3,10,True,7,0.8333296703296703,0.6541666666666667
scatter,none,5,3,10,True,11,0.8320549450549451,0.6541666666666667
scatter,none,5,3,20,True,5,0.8178689771766695,0.6499999999999999
scatter,none,5,3,20,True,7,0.8049120879120879,0.6729166666666666
scatter,none,5,3,20,True,11,0.8049120879120879,0.6729166666666666
scatter,none,5,3,40,True,5,0.8536001690617075,0.70625
scatter,none,5,3,40,True,7,0.8521208791208791,0.70625
scatter,none,5,3,40,True,11,0.8521208791208791,0.70625
scatter,none,5,5,5,True,5,0.6980938292476755,0.7048611111111112
scatter,none,5,5,5,True,7,0.6982366863905325,0.6951388888888889
scatter,none,5,5,5,True,11,0.7069509721048183,0.6951388888888889
scatter,none,5,5,10,True,5,0.7753617920540997,0.7097222222222221
scatter,none,5,5,10,True,7,0.7680050718512257,0.7128472222222222
scatter,none,5,5,10,True,11,0.7685714285714287,0.6812500000000001
scatter,none,5,5,20,True,5,0.7798884192730345,0.6694444444444445
scatter,none,5,5,20,True,7,0.7812857142857144,0.6604166666666667
scatter,none,5,5,20,True,11,0.7812857142857144,0.6604166666666667
scatter,none,5,5,40,True,5,0.7595739644970415,0.6229166666666667
scatter,none,5,5,40,True,7,0.7587582417582418,0.6229166666666667
scatter,none,5,5,40,True,11,0.7587582417582418,0.6229166666666667
scatter,none,5,7,5,True,5,0.6894539306847,0.6809027777777777
scatter,none,5,7,5,True,7,0.6751800507185122,0.6875
scatter,none,5,7,5,True,11,0.6417573964497041,0.6861111111111112
scatter,none,5,7,10,True,5,0.7336737109044801,0.6690972222222222
scatter,none,5,7,10,True,7,0.7112967032967034,0.6888888888888889
scatter,none,5,7,10,True,11,0.7147252747252748,0.6888888888888889
scatter,none,5,7,20,True,5,0.7425038038884192,0.7833333333333334
scatter,none,5,7,20,True,7,0.7480549450549451,0.7833333333333334
scatter,none,5,7,20,True,11,0.7500549450549451,0.7833333333333334
scatter,none,5,7,40,True,5,0.8150726965342349,0.7017361111111111
scatter,none,5,7,40,True,7,0.8125934065934066,0.7145833333333333
scatter,none,5,7,40,True,11,0.8103076923076923,0.7145833333333333
scatter,none,7,3,5,True,5,0.8023254437869822,0.6364583333333333
scatter,none,7,3,5,True,7,0.7810321217244295,0.6440972222222223
scatter,none,7,3,5,True,11,0.7690363482671175,0.6479166666666667
scatter,none,7,3,10,True,5,0.8193854606931531,0.6822916666666666
scatter,none,7,3,10,True,7,0.8130439560439561,0.6666666666666666
scatter,none,7,3,10,True,11,0.8130439560439561,0.6666666666666666
scatter,none,7,3,20,True,5,0.8324065934065933,0.6937499999999999
scatter,none,7,3,20,True,7,0.8326923076923076,0.6937499999999999
scatter,none,7,3,20,True,11,0.8326923076923076,0.6937499999999999
scatter,none,7,3,40,True,5,0.8537582417582419,0.625
scatter,none,7,3,40,True,7,0.8537582417582419,0.625
scatter,none,7,3,40,True,11,0.8537582417582419,0.625
scatter,none,7,5,5,True,5,0.7451817413355876,0.6749999999999999
scatter,none,7,5,5,True,7,0.6951428571428571,0.6177083333333334
scatter,none,7,5,5,True,11,0.6815097210481827,0.6114583333333333
scatter,none,7,5,10,True,5,0.773469146238377,0.6666666666666666
scatter,none,7,5,10,True,7,0.7607252747252748,0.6395833333333334
scatter,none,7,5,10,True,11,0.7607252747252748,0.6395833333333334
scatter,none,7,5,20,True,5,0.8071808960270499,0.6840277777777778
scatter,none,7,5,20,True,7,0.7813296703296703,0.675
scatter,none,7,5,20,True,11,0.7813296703296703,0.675
scatter,none,7,5,40,True,5,0.8075934065934065,0.7298611111111111
scatter,none,7,5,40,True,7,0.8153076923076924,0.7208333333333333
scatter,none,7,5,40,True,11,0.8153076923076924,0.7208333333333333
scatter,none,7,7,5,True,5,0.6914885883347421,0.6642361111111112
scatter,none,7,7,5,True,7,0.6654792899408283,0.6510416666666667
scatter,none,7,7,5,True,11,0.6497650042265426,0.6305555555555555
scatter,none,7,7,10,True,5,0.7630000000000001,0.6909722222222222
scatter,none,7,7,10,True,7,0.7617252747252746,0.7055555555555556
scatter,none,7,7,10,True,11,0.7631538461538462,0.7208333333333333
scatter,none,7,7,20,True,5,0.7752459847844463,0.7093750000000001
scatter,none,7,7,20,True,7,0.7538021978021978,0.7
scatter,none,7,7,20,True,11,0.7603736263736265,0.7
scatter,none,7,7,40,True,5,0.7537109044801353,0.6638888888888889
scatter,none,7,7,40,True,7,0.7573076923076923,0.6416666666666666
scatter,none,7,7,40,True,11,0.7573076923076923,0.6416666666666666
spatstat,none,1,3,5,True,5,0.7460583262890955,0.7020833333333333
spatstat,none,1,3,5,True,7,0.7417979712595097,0.7090277777777777
spatstat,none,1,3,5,True,11,0.7396551141166525,0.7090277777777777
spatstat,none,1,3,10,True,5,0.7763288250211329,0.6770833333333334
spatstat,none,1,3,10,True,7,0.7541766694843618,0.6749999999999999
spatstat,none,1,3,10,True,11,0.7583296703296704,0.6749999999999999
spatstat,none,1,3,20,True,5,0.8458131868131868,0.6538194444444445
spatstat,none,1,3,20,True,7,0.83610989010989,0.5520833333333334
spatstat,none,1,3,20,True,11,0.8333956043956045,0.5520833333333334
spatstat,none,1,3,40,True,5,0.8734877430262046,0.7708333333333334
spatstat,none,1,3,40,True,7,0.866978021978022,0.7708333333333334
