type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,cv-auc,test-auc
scatter,none,1,3,5,True,5,0.6743055555555555,0.5732638888888889
scatter,none,1,3,5,True,7,0.6813888888888889,0.5194444444444444
scatter,none,1,3,5,True,11,0.7379166666666668,0.5201388888888889
scatter,none,1,3,10,True,5,0.7704166666666667,0.7194444444444443
scatter,none,1,3,10,True,7,0.7675,0.720486111111111
scatter,none,1,3,10,True,11,0.7718055555555556,0.7371527777777778
scatter,none,1,3,20,True,5,0.8026388888888889,0.7232638888888889
scatter,none,1,3,20,True,7,0.7865277777777778,0.7378472222222222
scatter,none,1,3,20,True,11,0.7925,0.7413194444444444
scatter,none,1,3,40,True,5,0.793611111111111,0.7208333333333333
scatter,none,1,3,40,True,7,0.8045833333333334,0.7354166666666667
scatter,none,1,3,40,True,11,0.7883333333333333,0.7458333333333333
scatter,none,1,5,5,True,5,0.7688888888888888,0.7371527777777778
scatter,none,1,5,5,True,7,0.7709722222222222,0.7701388888888888
scatter,none,1,5,5,True,11,0.8076388888888889,0.7510416666666666
scatter,none,1,5,10,True,5,0.7705555555555554,0.7600694444444445
scatter,none,1,5,10,True,7,0.8090277777777777,0.7729166666666667
scatter,none,1,5,10,True,11,0.8069444444444445,0.7725694444444444
scatter,none,1,5,20,True,5,0.795,0.7784722222222222
scatter,none,1,5,20,True,7,0.7943055555555556,0.7791666666666666
scatter,none,1,5,20,True,11,0.7898611111111112,0.7871527777777778
scatter,none,1,5,40,True,5,0.7963888888888888,0.7552083333333333
scatter,none,1,5,40,True,7,0.8025,0.7798611111111111
scatter,none,1,5,40,True,11,0.7987500000000001,0.7701388888888889
scatter,none,1,7,5,True,5,0.8161111111111111,0.7371527777777778
scatter,none,1,7,5,True,7,0.8366666666666667,0.7302083333333332
scatter,none,1,7,5,True,11,0.8397222222222223,0.7569444444444444
scatter,none,1,7,10,True,5,0.810138888888889,0.7604166666666667
scatter,none,1,7,10,True,7,0.8343055555555556,0.7527777777777778
scatter,none,1,7,10,True,11,0.8469444444444445,0.7881944444444444
scatter,none,1,7,20,True,5,0.7727777777777778,0.7270833333333333
scatter,none,1,7,20,True,7,0.8181944444444443,0.7350694444444446
scatter,none,1,7,20,True,11,0.8398611111111111,0.7409722222222221
scatter,none,1,7,40,True,5,0.8141666666666666,0.7788194444444445
scatter,none,1,7,40,True,7,0.81875,0.7545138888888889
scatter,none,1,7,40,True,11,0.8255555555555555,0.7659722222222222
scatter,none,3,3,5,True,5,0.7705555555555557,0.7215277777777778
scatter,none,3,3,5,True,7,0.7841666666666667,0.7472222222222222
scatter,none,3,3,5,True,11,0.7786111111111111,0.7611111111111112
scatter,none,3,3,10,True,5,0.8073611111111111,0.7618055555555555
scatter,none,3,3,10,True,7,0.8425,0.7406250000000001
scatter,none,3,3,10,True,11,0.8222222222222222,0.7628472222222222
scatter,none,3,3,20,True,5,0.8613888888888889,0.7659722222222223
scatter,none,3,3,20,True,7,0.8573611111111111,0.7631944444444445
scatter,none,3,3,20,True,11,0.8352777777777778,0.7902777777777779
scatter,none,3,3,40,True,5,0.8531944444444445,0.7833333333333333
scatter,none,3,3,40,True,7,0.85,0.796875
scatter,none,3,3,40,True,11,0.8301388888888891,0.7569444444444445
scatter,none,3,5,5,True,5,0.7325,0.6767361111111112
scatter,none,3,5,5,True,7,0.7747222222222222,0.6944444444444444
scatter,none,3,5,5,True,11,0.8009722222222223,0.7416666666666667
scatter,none,3,5,10,True,5,0.7643055555555555,0.6690972222222222
