H26,26,5,350,664,0.14,0.059,30
H27,27,1,350,1336,0.08,0.051,6
H27,27,2,350,1336,0.08,0.032,12
H27,27,3,350,1336,0.08,0.046,18
H27,27,4,350,1336,0.08,0.024,24
H27,27,5,350,1336,0.08,0.05,30
H28,28,1,350,664,0.08,0.829,6
H28,28,2,350,664,0.08,0.538,12
H28,28,3,350,664,0.08,0.26,18
H28,28,4,350,664,0.08,0.233,24
H28,28,5,350,664,0.08,0.419,30
