type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,auc,precision,recall
moran,direct,1,euclidean,60,row,4,0.8341165413533835,0.851063829787234,0.7142857142857143
moran,direct,1,euclidean,60,row,5,0.8439849624060152,0.9090909090909091,0.7142857142857143
moran,direct,1,euclidean,60,row,6,0.8406954887218046,0.8888888888888888,0.7142857142857143
moran,direct,1,euclidean,90,row,2,0.8054511278195489,0.75,0.6964285714285714
moran,direct,1,euclidean,90,row,3,0.825187969924812,0.8478260869565217,0.6964285714285714
moran,direct,1,euclidean,90,row,4,0.8463345864661654,0.8723404255319149,0.7321428571428571
moran,direct,1,euclidean,90,row,5,0.8496240601503758,0.8913043478260869,0.7321428571428571
moran,direct,1,euclidean,90,row,6,0.8195488721804511,0.8636363636363636,0.6785714285714286
moran,direct,1,euclidean,120,row,2,0.8576127819548873,0.8431372549019608,0.7678571428571429
moran,direct,1,euclidean,120,row,3,0.8439849624060152,0.9090909090909091,0.7142857142857143
moran,direct,1,euclidean,120,row,4,0.8529135338345866,0.9111111111111111,0.7321428571428571
moran,direct,1,euclidean,120,row,5,0.8261278195488722,0.9047619047619048,0.6785714285714286
moran,direct,1,euclidean,120,row,6,0.8350563909774437,0.9069767441860465,0.6964285714285714
moran,direct,1,euclidean,150,row,2,0.8510338345864662,0.8113207547169812,0.7678571428571429
moran,direct,1,euclidean,150,row,3,0.8218984962406015,0.8297872340425532,0.6964285714285714
moran,direct,1,euclidean,150,row,4,0.8218984962406015,0.8297872340425532,0.6964285714285714
moran,direct,1,euclidean,150,row,5,0.7805451127819549,0.8292682926829268,0.6071428571428571
moran,direct,1,euclidean,150,row,6,0.7984022556390977,0.8372093023255814,0.6428571428571429
moran,direct,3,grid,30,none,2,0.6339285714285715,0.43283582089552236,0.5178571428571429
moran,direct,3,grid,30,none,3,0.6508458646616542,0.5319148936170213,0.44642857142857145
moran,direct,3,grid,30,none,4,0.6320488721804511,0.4897959183673469,0.42857142857142855
moran,direct,3,grid,30,none,5,0.6282894736842105,0.5384615384615384,0.375
moran,direct,3,grid,30,none,6,0.5958646616541353,0.5,0.30357142857142855
moran,direct,3,grid,60,none,2,0.5798872180451128,0.4,0.35714285714285715
moran,direct,3,grid,60,none,3,0.5493421052631579,0.3783783783783784,0.25
moran,direct,3,grid,60,none,4,0.5704887218045112,0.42105263157894735,0.2857142857142857
moran,direct,3,grid,60,none,5,0.555921052631579,0.4,0.25
moran,direct,3,grid,60,none,6,0.5502819548872181,0.3939393939393939,0.23214285714285715
moran,direct,3,grid,90,none,2,0.5596804511278196,0.37777777777777777,0.30357142857142855
moran,direct,3,grid,90,none,3,0.5714285714285714,0.4411764705882353,0.26785714285714285
moran,direct,3,grid,90,none,4,0.5592105263157895,0.4117647058823529,0.25
moran,direct,3,grid,90,none,5,0.569078947368421,0.45161290322580644,0.25
moran,direct,3,grid,90,none,6,0.5479323308270676,0.4,0.21428571428571427
moran,direct,3,grid,120,none,2,0.5676691729323309,0.38,0.3392857142857143
moran,direct,3,grid,120,none,3,0.5704887218045112,0.42105263157894735,0.2857142857142857
moran,direct,3,grid,120,none,4,0.5615601503759399,0.40540540540540543,0.26785714285714285
moran,direct,3,grid,120,none,5,0.5502819548872181,0.3939393939393939,0.23214285714285715
moran,direct,3,grid,120,none,6,0.5357142857142857,0.36666666666666664,0.19642857142857142
moran,direct,3,grid,150,none,2,0.5733082706766917,0.38461538461538464,0.35714285714285715
moran,direct,3,grid,150,none,3,0.5573308270676691,0.38095238095238093,0.2857142857142857
moran,direct,3,grid,150,none,4,0.5761278195488722,0.425,0.30357142857142855
moran,direct,3,grid,150,none,5,0.5305451127819549,0.3333333333333333,0.23214285714285715
moran,direct,3,grid,150,none,6,0.5592105263157895,0.4117647058823529,0.25
moran,direct,3,grid,30,row,2,0.625,0.42424242424242425,0.5
moran,direct,3,grid,30,row,3,0.6564849624060151,0.5306122448979592,0.4642857142857143
moran,direct,3,grid,30,row,4,0.6329887218045113,0.5111111111111111,0.4107142857142857
moran,direct,3,grid,30,row,5,0.6193609022556391,0.5263157894736842,0.35714285714285715
moran,direct,3,grid,30,row,6,0.6170112781954888,0.5428571428571428,0.3392857142857143
moran,direct,3,grid,60,row,2,0.6113721804511277,0.423728813559322,0.44642857142857145
moran,direct,3,grid,60,row,3,0.5469924812030076,0.38235294117647056,0.23214285714285715
moran,direct,3,grid,60,row,4,0.543703007518797,0.37142857142857144,0.23214285714285715
moran,direct,3,grid,60,row,5,0.5357142857142857,0.36666666666666664,0.19642857142857142
moran,direct,3,grid,60,row,6,0.5267857142857143,0.3448275862068966,0.17857142857142858
moran,direct,3,grid,90,row,2,0.5742481203007519,0.3958333333333333,0.3392857142857143
moran,direct,3,grid,90,row,3,0.5737781954887218,0.43243243243243246,0.2857142857142857
moran,direct,3,grid,90,row,4,0.5592105263157895,0.4117647058823529,0.25
moran,direct,3,grid,90,row,5,0.5592105263157895,0.4117647058823529,0.25
moran,direct,3,grid,90,row,6,0.5357142857142857,0.36666666666666664,0.19642857142857142
moran,direct,3,grid,120,row,2,0.5643796992481204,0.37254901960784315,0.3392857142857143
moran,direct,3,grid,120,row,3,0.5615601503759399,0.40540540540540543,0.26785714285714285
moran,direct,3,grid,120,row,4,0.555921052631579,0.4,0.25
moran,direct,3,grid,120,row,5,0.5324248120300752,0.3548387096774194,0.19642857142857142
moran,direct,3,grid,120,row,6,0.5357142857142857,0.36666666666666664,0.19642857142857142
moran,direct,3,grid,150,row,2,0.5700187969924813,0.37735849056603776,0.35714285714285715
moran,direct,3,grid,150,row,3,0.5516917293233082,0.375,0.26785714285714285
moran,direct,3,grid,150,row,4,0.5606203007518796,0.3902439024390244,0.2857142857142857
moran,direct,3,grid,150,row,5,0.5314849624060151,0.34285714285714286,0.21428571428571427
moran,direct,3,grid,150,row,6,0.5347744360902256,0.35294117647058826,0.21428571428571427
moran,direct,3,euclidean,30,none,2,0.5723684210526316,0.375,0.375
moran,direct,3,euclidean,30,none,3,0.5850563909774436,0.43902439024390244,0.32142857142857145
moran,direct,3,euclidean,30,none,4,0.6071428571428571,0.5,0.3392857142857143
